item,takeoff_qty,app_qty,unit,status
Accent Wall,2505.41,2505.41,,PASS
Base,104336.49,104336.49,,PASS
Door - HM,236.0,236.0,,PASS
Door - WD,2378.0,2378.0,,PASS
Door Frame - HM,2687.0,2687.0,,PASS
Exposed Structure,7461.14,7461.14,,PASS
Fascia,5160.82,5160.820000000001,,PASS
Fiber Cement Panel,123231.03,123231.03000000001,,PASS
Gyp Ceiling,304046.57,304046.57,,PASS
Gyp Wall,947811.46,947811.46,,PASS
Hand Rails,2095.76,2095.76,,PASS
Lift,1.0,1.0,,PASS
Mobilization,1.0,1.0,,PASS
Sealed Concrete,423.54,423.54,,PASS
Stairs,32.0,32.0,,PASS
Trash Enclosure,1.0,1.0,,PASS
Trim,63132.12,63132.12,,PASS
WC - 1,318.25,318.25,,PASS
WC - 2,244.4,244.4,,PASS
